Category,Indicator,Variable,Units,Statistic,Scale
Indicator estimates: access (walking),Average distance (m) along the pedestrian network to the nearest destination,avg_walk_dist_[destination],metres,mean,"grid, custom areas"
Indicator estimates: access (walking),Average distance (m) along the pedestrian network to the nearest destination (population weighted),pop_avg_walk_dist_[destination],metres,mean,"city, custom areas"
Indicator estimates: access (walking),Score (0/1): the nearest destination is further than [x] m along the pedestrian network,sp_walk_beyond_[destination]_[x]m,score 0-1,value,sample point
Indicator estimates: access (walking),Percentage of population living further than [x] m along the pedestrian network from the nearest destination,pct_beyond_walk_[destination]_[x]m,percent,percentage,"grid, custom areas"
Indicator estimates: access (walking),Percentage of population living further than [x] m along the pedestrian network from the nearest destination (population weighted),pop_pct_beyond_walk_[destination]_[x]m,percent,percentage,"city, custom areas"
Indicator estimates: access (walking),Number of destinations of the sub-type reachable within [x] m along the pedestrian network,sp_walk_count_[set]__[sub-type]_[x]m,count,value,sample point
Indicator estimates: access (walking),Average number of destinations of the sub-type reachable within [x] m along the pedestrian network,avg_count_walk_[set]__[sub-type]_[x]m,count,mean,"grid, custom areas"
Indicator estimates: access (walking),"Diversity (0-1) of the sub-types reachable within [x] m along the pedestrian network: the Shannon entropy of the counts of each sub-type, normalised by the number of sub-types defined",sp_walk_diversity_[set]_[x]m,index 0-1,value,sample point
Indicator estimates: access (walking),Average diversity (0-1) of the sub-types reachable within [x] m along the pedestrian network,avg_diversity_walk_[set]_[x]m,index 0-1,mean,"grid, custom areas"
Indicator estimates: access (walking),Share (0-1) of the set's sub-types with at least one destination reachable within [x] m along the pedestrian network,sp_walk_richness_[set]_[x]m,index 0-1,value,sample point
Indicator estimates: access (walking),Average share (0-1) of the set's sub-types with at least one destination reachable within [x] m along the pedestrian network,avg_richness_walk_[set]_[x]m,index 0-1,mean,"grid, custom areas"
Indicator estimates: walkability,"Average population density of the local walkable neighbourhood (population per km², based on the population grid cells intersecting the sample point neighbourhood)",sp_local_nh_avg_pop_density,persons per km²,value,sample point
Indicator estimates: walkability,Average street intersection density of the local walkable neighbourhood (intersections per km²),sp_local_nh_avg_intersection_density,count per km²,value,sample point
Indicator estimates: walkability,"Daily living score (/3): sum of access scores for fresh food, convenience and public transport destinations",sp_daily_living_score,score 0-3,value,sample point
Indicator estimates: walkability,"Walkability index: sum of z-scores of the daily living score, neighbourhood population density and neighbourhood intersection density",sp_walkability_index,index (sum of z-scores),value,sample point
Indicator estimates: walkability,Average walkable neighbourhood population density (population per km²) of sample points in this area,local_nh_population_density,persons per km²,mean,"grid, city, custom areas"
Indicator estimates: walkability,Average walkable neighbourhood intersection density (intersections per km²) of sample points in this area,local_nh_intersection_density,count per km²,mean,"grid, city, custom areas"
Indicator estimates: walkability,Average daily living score (/3) of sample points in this area,local_daily_living,score 0-3,mean,"grid, city, custom areas"
Indicator estimates: walkability,Average walkability index of sample points in this area,local_walkability,index (sum of z-scores),mean,"grid, city, custom areas"
Indicator estimates: walkability,Average walkable neighbourhood population density (population per km²; population weighted),pop_nh_pop_density,persons per km²,mean,"city, custom areas"
Indicator estimates: walkability,Average walkable neighbourhood intersection density (intersections per km²; population weighted),pop_nh_intersection_density,count per km²,mean,"city, custom areas"
Indicator estimates: walkability,Average daily living score (/3; population weighted),pop_daily_living,score 0-3,mean,"city, custom areas"
Indicator estimates: walkability,Average walkability index (population weighted),pop_walkability,index (sum of z-scores),mean,"city, custom areas"
Indicator estimates: urban heat vulnerability,"Heat Exposure Index (HEI): the heat exposure sub-index, derived from land surface temperature",urban_heat_exposure_index,index 0-100,mean,"sample point, grid, city, custom areas"
Indicator estimates: urban heat vulnerability,"Land surface temperature (°C): the temperature of the Earth’s surface, indicating the lived experience of heat (Landsat 8 surface reflectance, hottest third of the year)",urban_heat_land_surface_temp_c,degrees Celsius,mean,"sample point, grid, city, custom areas"
Indicator estimates: urban heat vulnerability,"Heat Sensitivity Index (HSI): the equally weighted heat sensitivity sub-index of land surface albedo, NDVI, NDBI, local climate zone, population density and vulnerable population",urban_heat_sensitivity_index,index 0-100,mean,"sample point, grid, city, custom areas"
Indicator estimates: urban heat vulnerability,"Land surface albedo: solar reflectance, where higher reflectance implies less surface heat retention (inverted, so that higher values indicate greater heat vulnerability)",urban_heat_land_surface_albedo,proportion 0-1,mean,"sample point, grid, city, custom areas"
Indicator estimates: urban heat vulnerability,"Normalised Difference Vegetation Index (NDVI): a spectral index of vegetation health and greenness (inverted, so that higher values indicate greater heat vulnerability)",urban_heat_ndvi,index -1 to 1,mean,"sample point, grid, city, custom areas"
Indicator estimates: urban heat vulnerability,Normalised Difference Built-up Index (NDBI): a spectral index of impervious surfaces such as concrete and asphalt,urban_heat_ndbi,index -1 to 1,mean,"sample point, grid, city, custom areas"
Indicator estimates: urban heat vulnerability,"Local Climate Zone: a standardised classification of land cover typologies for urban heat island studies, ordered from least heat retaining (water) to most heat retaining (bare rock or paved)",urban_heat_local_climate_zone_ordered,ordered class,category,"sample point, grid, city, custom areas"
Indicator estimates: urban heat vulnerability,"Population density (persons per km²), from the GHS-POP global human settlement population grid",urban_heat_population_density_per_sqkm,persons per km²,mean,"sample point, grid, city, custom areas"
Indicator estimates: urban heat vulnerability,"Vulnerable population (%): those most at risk from heat on the basis of age, being the combined proportion of the population aged 0–4 and 65+ years",urban_heat_vulnerable_pop_pct,percent,percentage,"sample point, grid, city, custom areas"
Indicator estimates: urban heat vulnerability,"Adaptive Capability Index (ACI): the equally weighted adaptive capability sub-index of child dependency ratio, subnational Human Development Index and infant mortality rate; higher values indicate lower adaptive capability",urban_heat_adaptive_capability_index,index 0-100,mean,"sample point, grid, city, custom areas"
Indicator estimates: urban heat vulnerability,"Child dependency ratio: children (aged 0–14 years) relative to the working age population (15–64 years), indicating economic reliance",urban_heat_child_dependency_ratio,ratio,mean,"sample point, grid, city, custom areas"
Indicator estimates: urban heat vulnerability,"Subnational Human Development Index: human well-being assessed through education, health and standard of living",urban_heat_subnational_hdi,index 0-100,mean,"sample point, grid, city, custom areas"
Indicator estimates: urban heat vulnerability,"Infant mortality rate: deaths of children under 1 year of age per 1000 live births, a key indicator of population health",urban_heat_infant_mortality_rate,"deaths per 1,000 live births",mean,"sample point, grid, city, custom areas"
Indicator estimates: urban heat vulnerability,"Global Urban Heat Vulnerability Index (GUHVI): the equally weighted composite of the Heat Exposure, Heat Sensitivity and Adaptive Capability indices, (HEI + HSI + ACI) / 3",urban_heat_guhvi,index 0-100,mean,"sample point, grid, city, custom areas"
Indicator estimates: urban heat vulnerability,"Global Urban Heat Vulnerability Index (GUHVI) class, from 1 (least vulnerable) to 5 (most vulnerable)",urban_heat_guhvi_class,class 1-5,category,"sample point, grid, city, custom areas"
Indicator estimates: urban heat vulnerability,"Percentage of population in Global Urban Heat Vulnerability Index (GUHVI) class 5, the most vulnerable class",pct_urban_heat_guhvi_class_5_most_vulnerable,percent,percentage,"grid, city, custom areas"
