route_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color
2.207.2996,V7,Pl. Espanya / Sarrià,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/V7,6ab023,FFFFFF
2.209.3052,V9,Poble-sec / Sarrià,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/V9,6ab023,FFFFFF
2.211.3019,V11,Estació Marítima (WTC) / Bonanova,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/V11,6ab023,FFFFFF
2.213.3011,V13,Pla de Palau / Av. Tibidabo,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/V13,6ab023,FFFFFF
2.215.3079,V15,Barceloneta / Av. Tibidabo,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/V15,6ab023,FFFFFF
2.217.3080,V17,Port Vell / Vall d'Hebron,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/V17,6ab023,FFFFFF
2.219.3070,V19,Barceloneta / Pl. Alfonso Comín,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/V19,6ab023,FFFFFF
2.221.2998,V21,Pg. Marítim / Montbau,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/V21,6ab023,FFFFFF
2.223.3071,V23,Nova Icària / Can Marcet,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/V23,6ab023,FFFFFF
2.225.3072,V25,Nova Icària / Horta,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/V25,6ab023,FFFFFF
2.227.3013,V27,Pg. Marítim / Canyelles,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/V27,6ab023,FFFFFF
2.229.3024,V29,Diagonal Mar / Roquetes,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/V29,6ab023,FFFFFF
2.231.2982,V31,Mar Bella / Trinitat Vella,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/V31,6ab023,FFFFFF
2.233.3053,V33,Fòrum Campus Besòs / Santa Coloma,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/V33,6ab023,FFFFFF
2.6.2899,6,Pg. Manuel Girona / Poblenou,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/6,DC241F,FFFFFF
2.7.2905,7,Fòrum / Zona Universitària,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/7,DC241F,FFFFFF
2.11.2890,11,Trinitat Vella / Roquetes,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/11,DC241F,FFFFFF
2.13.2833,13,Mercat Sant Antoni / Parc de Montjuïc,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/13,DC241F,FFFFFF
2.19.3081,19,Pl. Catalunya / Sant Genís,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/19,DC241F,FFFFFF
2.21.2973,21,Paral·lel / El Prat,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/21,DC241F,FFFFFF
2.22.3082,22,Pl. Catalunya / El Carmel,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/22,DC241F,FFFFFF
2.23.2898,23,Pl. Espanya / Parc Logístic,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/23,DC241F,FFFFFF
2.24.2840,24,Pl. Catalunya / El Carmel,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/24,DC241F,FFFFFF
2.27.2841,27,Estació de Sants / Roquetes,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/27,DC241F,FFFFFF
2.33.2846,33,Zona Universitària / Verneda,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/33,DC241F,FFFFFF
2.34.2847,34,Pg. Manuel Girona / Pl. Virrei Amat,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/34,DC241F,FFFFFF
2.39.3075,39,Pl. Urquinaona / Pl. Catalana,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/39,DC241F,FFFFFF
2.46.2975,46,Pl. Espanya / Aeroport BCN,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/46,DC241F,FFFFFF
2.47.3083,47,Pg. Marítim / Canyelles,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/47,DC241F,FFFFFF
2.52.3054,52,Pl. Catalunya / Collblanc,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/52,DC241F,FFFFFF
2.54.3086,54,Estació del Nord / Cardenal Reig,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/54,DC241F,FFFFFF
2.55.3084,55,Pl. Urquinaona / Parc de Montjuïc,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/55,DC241F,FFFFFF
2.59.2860,59,Poblenou / Pl. Reina Maria Cristina,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/59,DC241F,FFFFFF
2.60.3085,60,Besòs Verneda / Vall d'Hebron,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/60,DC241F,FFFFFF
2.62.2862,62,Pl. Catalunya / Ciutat Meridiana,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/62,DC241F,FFFFFF
2.63.2863,63,Pl. Universitat / Sant Joan Despí,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/63,DC241F,FFFFFF
2.65.2865,65,Pl. Espanya / El Prat,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/65,DC241F,FFFFFF
2.67.2902,67,Pl. Catalunya / Cornellà,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/67,DC241F,FFFFFF
2.68.2903,68,Hospital Clínic / Cornellà,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/68,DC241F,FFFFFF
2.70.2882,70,Rambla de Badal / Bonanova,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/70,DC241F,FFFFFF
2.75.2868,75,Les Corts / Av. Tibidabo,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/75,DC241F,FFFFFF
2.76.2869,76,Sant Genís / Ciutat Meridiana,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/76,DC241F,FFFFFF
2.78.2870,78,Estació de Sants / Sant Joan Despí,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/78,DC241F,FFFFFF
2.79.2895,79,Pl. Espanya / <M> Av. Carrilet,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/79,DC241F,FFFFFF
2.91.2871,91,Manso / La Bordeta,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/91,DC241F,FFFFFF
2.94.2951,94,Barri Almeda / Fontsanta,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/94,DC241F,FFFFFF
2.95.2872,95,Barri Almeda / Pl. Fontsanta,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/95,DC241F,FFFFFF
2.96.2873,96,<M> La Sagrera / Montcada i Reixac,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/96,DC241F,FFFFFF
2.97.2874,97,Pg. Fabra i Puig / Vallbona,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/97,DC241F,FFFFFF
2.102.2876,102,Pl. Eivissa / Cementiri de Collserola,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/102,DC241F,FFFFFF
2.103.2884,103,Montcada i Reixac / Cementiri de Collserola,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/103,DC241F,FFFFFF
2.104.2887,104,Fabra i Puig / Cementiri de Collserola,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/104,DC241F,FFFFFF
2.107.2933,107,Cementiri Montjuïc,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/107,DC241F,FFFFFF
2.109.2877,109,Hospital Clínic / Polígon Zona Franca,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/109,DC241F,FFFFFF
2.110.2893,110,<M> Av. Carrilet / Polígon Zona Franca,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/110,DC241F,FFFFFF
2.111.2888,111,Tibidabo,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/111,DC241F,FFFFFF
2.112.2925,112,Sant Genís,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/112,DC241F,FFFFFF
2.113.2916,113,La Mercè,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/113,DC241F,FFFFFF
2.114.2942,114,Gràcia / Can Baró,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/114,DC241F,FFFFFF
2.115.2917,115,La Bordeta,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/115,DC241F,FFFFFF
2.116.2930,116,La Salut,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/116,DC241F,FFFFFF
2.117.2914,117,Guinardó,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/117,DC241F,FFFFFF
2.118.2915,118,Mas Guimbau,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/118,DC241F,FFFFFF
2.119.2931,119,La Teixonera,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/119,DC241F,FFFFFF
2.120.2918,120,Ciutat Vella,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/120,DC241F,FFFFFF
2.121.2932,121,Poble Sec,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/121,DC241F,FFFFFF
2.122.2935,122,Turó de la Peira,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/122,DC241F,FFFFFF
2.123.2936,123,Bonanova Alta,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/123,DC241F,FFFFFF
2.124.2937,124,Penitents,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/124,DC241F,FFFFFF
2.125.2938,125,La Marina,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/125,DC241F,FFFFFF
2.126.2939,126,Sant Andreu,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/126,DC241F,FFFFFF
2.127.2940,127,Roquetes,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/127,DC241F,FFFFFF
2.128.2919,128,El Rectoret,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/128,DC241F,FFFFFF
2.129.2968,129,El Coll,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/129,DC241F,FFFFFF
2.130.2969,130,Can Caralleu,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/130,DC241F,FFFFFF
2.131.2970,131,El Putxet,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/131,DC241F,FFFFFF
2.132.2979,132,Torre Llobeta / Prosperitat,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/132,DC241F,FFFFFF
2.133.3073,133,Baró de Viver / Sant Andreu Arenal,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/133,DC241F,FFFFFF
2.135.3074,135,Vall d'Hebron / Montbau,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/135,DC241F,FFFFFF
2.136.3026,136,Pg. Marítim / Verneda,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/136,DC241F,FFFFFF
2.150.2993,150,Pl. Espanya / Castell de Montjuïc,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/150,DC241F,FFFFFF
2.155.2922,155,Can Cuiàs / Santa Maria de Montcada,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/155,DC241F,FFFFFF
2.157.2880,157,Collblanc / Sant Joan Despí,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/157,DC241F,FFFFFF
2.165.2885,165,Prat Exprés,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/165,DC241F,FFFFFF
2.185.2941,185,<M> Canyelles / Vall d'Hebron,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/185,DC241F,FFFFFF
2.191.3091,191,Pl. Congrés / Can Baró,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/191,DC241F,FFFFFF
2.192.3076,192,Poblenou / Hospital de Sant Pau,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/192,DC241F,FFFFFF
2.196.2971,196,Pl. Kennedy / Bellesguard,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/196,DC241F,FFFFFF
2.1.3171,M1A,L1 Especial-A de Clot / Fabra i Puig,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/M1A,896d00,000000
2.701.3030,M1B,L1 Especial-B de Onze de Setembre / Fondo,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/M1B,896d00,000000
